TIME_REF,Owner-Occupied,Provided Free,Rented,Total
1991.01,960300,43000,298500,1301700
1991.04,962100,43600,301300,1307000
1991.07,962700,44200,303700,1310700
1991.10,963500,44800,306300,1314500
1992.01,964500,45300,308800,1318600
1992.04,965500,45900,311400,1322900
1992.07,966100,46500,314000,1326600
1992.10,966900,47100,316500,1330600
1993.01,967700,47700,319100,1334500
1993.04,968900,48300,321800,1339000
1993.07,969500,48900,324400,1342800
1993.10,970400,49500,327100,1347000
1994.01,971600,50100,329800,1351500
1994.04,972700,50700,332600,1356000
1994.07,973700,51400,335300,1360400
1994.10,975200,52000,338300,1365400
1995.01,977100,52700,341300,1371100
1995.04,979100,53400,344500,1376900
1995.07,980400,54000,347400,1381900
1995.10,981500,54700,350300,1386500
1996.01,982700,55000,353400,1391200
1996.04,984700,54700,357400,1396800
1996.07,986700,54300,361500,1402500
1996.10,988900,53900,365700,1408600
1997.01,990800,53600,369700,1414100
1997.04,992900,53200,373800,1419900
1997.07,994500,52800,377900,1425200
1997.10,996800,52400,382200,1431500
1998.01,999900,52100,386800,1438700
1998.04,1002400,51700,391200,1445300
1998.07,1004300,51300,395500,1451100
1998.10,1005600,50900,399600,1456000
1999.01,1006900,50400,403600,1460900
1999.04,1008500,50000,407800,1466300
1999.07,1010400,49600,412100,1472100
1999.10,1013000,49200,416800,1478900
2000.01,1016100,48800,421700,1486600
2000.04,1018300,48400,426300,1493000
2000.07,1019800,47900,430600,1498300
2000.10,1021100,47400,434900,1503400
2001.01,1022900,47400,438300,1508600
2001.04,1025100,48400,439400,1512800
2001.07,1027200,49400,440500,1517000
2001.10,1029600,50400,441700,1521800
2002.01,1032300,51400,443000,1526800
2002.04,1035100,52500,444400,1532000
2002.07,1037700,53500,445700,1536900
2002.10,1040900,54600,447200,1542800
2003.01,1044800,55700,449100,1549600
2003.04,1049300,56900,451200,1557400
2003.07,1052500,58000,452800,1563300
2003.10,1056200,59200,454500,1569900
2004.01,1060700,60400,456600,1577700
2004.04,1065000,61500,458700,1585300
2004.07,1069400,62800,460800,1593000
2004.10,1074000,64000,462900,1600900
2005.01,1077600,65200,464600,1607400
2005.04,1081600,66400,466600,1614600
2005.07,1085300,67600,468300,1621200
2005.10,1088100,68700,469700,1626500
2006.01,1091200,69600,471800,1632600
2006.04,1093900,69500,475000,1638400
2006.07,1096400,69400,478200,1644000
2006.10,1098600,69400,481200,1649200
2007.01,1101500,69300,484600,1655400
2007.04,1104000,69200,487800,1661100
2007.07,1106400,69200,491000,1666500
2007.10,1109000,69100,494300,1672400
2008.01,1111600,69000,497600,1678200
2008.04,1113800,68900,500700,1683500
2008.07,1115500,68800,503700,1688000
2008.10,1117400,68700,506700,1692700
2009.01,1118600,68500,509400,1696600
2009.04,1119400,68300,511900,1699600
2009.07,1119800,68100,514300,1702200
2009.10,1120400,67900,516800,1705100
2010.01,1121300,67700,519400,1708500
2010.04,1122500,67600,522100,1712200
2010.07,1123500,67400,524800,1715600
2010.10,1124500,67200,527500,1719300
2011.01,1125500,67000,530200,1722700
2011.04,1126300,66800,532800,1725900
2011.07,1126600,66600,535200,1728400
2011.10,1127000,66400,537700,1731100
2012.01,1128000,66200,540400,1734500
2012.04,1128800,66000,543000,1737800
2012.07,1129700,65800,545700,1741200
2012.10,1130600,65600,548400,1744600
2013.01,1132700,65500,551200,1749400
2013.04,1135100,65300,552900,1753300
2013.07,1137200,65200,554500,1757000
2013.10,1139900,65100,556400,1761400
2014.01,1142700,65000,558300,1766000
2014.04,1145900,64900,560400,1771100
2014.07,1148600,64700,562300,1775700
2014.10,1151800,64600,564400,1780800
2015.01,1155000,64600,566600,1786100
2015.04,1158500,64500,568800,1791800
2015.07,1161400,64400,570800,1796600
2015.10,1164600,64300,573000,1801900
2016.01,1168400,64200,575400,1808000
2016.04,1172400,64100,578000,1814500
2016.07,1175600,64000,580100,1819800
2016.10,1179600,64000,582700,1826200
2017.01,1183800,63900,585300,1833100
2017.04,1187800,63800,587900,1839600
2017.07,1191400,63700,590300,1845400
2017.10,1195200,63700,592700,1851600
2018.01,1199300,63700,595200,1858200
2018.04,1204400,63900,597700,1866100
2018.07,1209100,64200,600000,1873300
2018.10,1213400,64400,602200,1879900
2019.01,1218600,64700,604800,1888100
2019.04,1223500,65000,607200,1895700
2019.07,1228500,65200,609700,1903400
2019.10,1233600,65500,612200,1911400
2020.01,1239100,65800,614900,1919800
2020.04,1245000,66100,617800,1928900
