location,timestamp,median_price,TIME_REF
NZ total,1992-01-31,105000,1992.01
NZ total,1992-02-29,110000,1992.02
NZ total,1992-03-31,110000,1992.03
NZ total,1992-04-30,110000,1992.04
NZ total,1992-05-31,110000,1992.05
NZ total,1992-06-30,108000,1992.06
NZ total,1992-07-31,110000,1992.07
NZ total,1992-08-31,110000,1992.08
NZ total,1992-09-30,110000,1992.09
NZ total,1992-10-31,111000,1992.10
NZ total,1992-11-30,110000,1992.11
NZ total,1992-12-31,113000,1992.12
NZ total,1993-01-31,112000,1993.01
NZ total,1993-02-28,114000,1993.02
NZ total,1993-03-31,113000,1993.03
NZ total,1993-04-30,115000,1993.04
NZ total,1993-05-31,112000,1993.05
NZ total,1993-06-30,115000,1993.06
NZ total,1993-07-31,115000,1993.07
NZ total,1993-08-31,116000,1993.08
NZ total,1993-09-30,118000,1993.09
NZ total,1993-10-31,119740,1993.10
NZ total,1993-11-30,122000,1993.11
NZ total,1993-12-31,121000,1993.12
NZ total,1994-01-31,123000,1994.01
NZ total,1994-02-28,125000,1994.02
NZ total,1994-03-31,126000,1994.03
NZ total,1994-04-30,127000,1994.04
NZ total,1994-05-31,127000,1994.05
NZ total,1994-06-30,129000,1994.06
NZ total,1994-07-31,129000,1994.07
NZ total,1994-08-31,131000,1994.08
NZ total,1994-09-30,132000,1994.09
NZ total,1994-10-31,134000,1994.10
NZ total,1994-11-30,135000,1994.11
NZ total,1994-12-31,133000,1994.12
NZ total,1995-01-31,130000,1995.01
NZ total,1995-02-28,135000,1995.02
NZ total,1995-03-31,135000,1995.03
NZ total,1995-04-30,135800,1995.04
NZ total,1995-05-31,137000,1995.05
NZ total,1995-06-30,137000,1995.06
NZ total,1995-07-31,138000,1995.07
NZ total,1995-08-31,140000,1995.08
NZ total,1995-09-30,141000,1995.09
NZ total,1995-10-31,144000,1995.10
NZ total,1995-11-30,145000,1995.11
NZ total,1995-12-31,140000,1995.12
NZ total,1996-01-31,146000,1996.01
