TIME_REF,rent_cpi,region
2006.11,1000,Auckland
2006.12,995,Auckland
2007.01,1007,Auckland
2007.02,1012,Auckland
2007.03,1020,Auckland
2007.04,1023,Auckland
2007.05,1045,Auckland
2007.06,1033,Auckland
2007.07,1037,Auckland
2007.08,1058,Auckland
2007.09,1051,Auckland
2007.1,1051,Auckland
2007.11,1063,Auckland
2007.12,1064,Auckland
2008.01,1050,Auckland
2008.02,1082,Auckland
2008.03,1076,Auckland
2008.04,1083,Auckland
2008.05,1085,Auckland
2008.06,1070,Auckland
2008.07,1071,Auckland
2008.08,1056,Auckland
2008.09,1069,Auckland
2008.1,1064,Auckland
2008.11,1059,Auckland
2008.12,1057,Auckland
2009.01,1061,Auckland
2009.02,1071,Auckland
2009.03,1068,Auckland
2009.04,1059,Auckland
2009.05,1058,Auckland
2009.06,1073,Auckland
2009.07,1057,Auckland
2009.08,1063,Auckland
2009.09,1062,Auckland
2009.1,1075,Auckland
2009.11,1082,Auckland
2009.12,1074,Auckland
2010.01,1082,Auckland
2010.02,1078,Auckland
2010.03,1088,Auckland
2010.04,1102,Auckland
2010.05,1103,Auckland
2010.06,1108,Auckland
2010.07,1094,Auckland
2010.08,1097,Auckland
2010.09,1100,Auckland
2010.1,1113,Auckland
2010.11,1119,Auckland
2010.12,1117,Auckland
2011.01,1116,Auckland
2011.02,1130,Auckland
2011.03,1149,Auckland
2011.04,1159,Auckland
2011.05,1163,Auckland
2011.06,1149,Auckland
2011.07,1148,Auckland
2011.08,1167,Auckland
2011.09,1183,Auckland
2011.1,1177,Auckland
2011.11,1183,Auckland
2011.12,1188,Auckland
2012.01,1186,Auckland
2012.02,1195,Auckland
2012.03,1209,Auckland
2012.04,1214,Auckland
2012.05,1208,Auckland
2012.06,1209,Auckland
2012.07,1216,Auckland
2012.08,1211,Auckland
2012.09,1214,Auckland
2012.1,1224,Auckland
2012.11,1226,Auckland
2012.12,1233,Auckland
2013.01,1240,Auckland
2013.02,1237,Auckland
2013.03,1250,Auckland
2013.04,1243,Auckland
2013.05,1243,Auckland
2013.06,1248,Auckland
2013.07,1239,Auckland
2013.08,1240,Auckland
2013.09,1235,Auckland
2013.1,1236,Auckland
2013.11,1258,Auckland
2013.12,1259,Auckland
2014.01,1252,Auckland
2014.02,1272,Auckland
